Customer Id,Invoice Id,Product Purchased,Quantity,Sales Price,Discount,Purchase Date,Total Price,Product Category
CUST1041,INV33519,Stationery,4,93.89,0.21,2025-05-18,296.69,Office Supplies
CUST1008,INV49618,Household supplies,5,60.86,0.02,2025-05-03,298.21,Home Essentials
CUST1002,INV11854,Beauty and Clean products,3,72.7,0.02,2025-05-20,213.74,Health & Beauty
CUST1048,INV80010,Electronics,5,93.02,0.0,2025-05-20,465.1,Electronics
CUST1018,INV26591,Home textile,5,73.65,0.29,2025-05-26,261.46,Home Essentials
CUST1016,INV45954,Fashion accessories,2,23.73,0.22,2025-05-11,37.02,Fashion
CUST1015,INV15965,Bags,3,61.87,0.11,2025-05-28,165.19,Fashion
CUST1009,INV17146,Fashion accessories,3,64.6,0.09,2025-05-13,176.36,Fashion
CUST1048,INV82529,Bags,3,48.17,0.1,2025-05-01,130.06,Fashion
CUST1007,INV48290,Household supplies,5,76.28,0.23,2025-05-10,293.68,Home Essentials
CUST1044,INV26551,Bags,4,94.09,0.2,2025-05-14,301.09,Fashion
CUST1048,INV93606,Stationery,3,93.3,0.06,2025-05-13,263.11,Office Supplies
CUST1035,INV74340,Household supplies,5,50.58,0.05,2025-05-25,240.25,Home Essentials
CUST1006,INV23446,Electronics,2,20.19,0.03,2025-05-03,39.17,Electronics
CUST1038,INV11607,Fashion accessories,4,98.64,0.2,2025-05-24,315.65,Fashion
CUST1028,INV85243,Stationery,2,85.5,0.23,2025-05-29,131.67,Office Supplies
CUST1003,INV47268,Apparel,4,21.22,0.08,2025-05-18,78.09,Fashion
CUST1002,INV71524,Bags,5,92.88,0.01,2025-05-29,459.76,Fashion
CUST1006,INV72746,Children's products,1,88.29,0.02,2025-05-08,86.52,Toys & Kids
CUST1014,INV67733,Electronics,4,56.7,0.29,2025-05-19,161.03,Electronics
CUST1015,INV54657,Home textile,2,63.21,0.09,2025-05-17,115.04,Home Essentials
CUST1033,INV34164,Beauty and Clean products,5,45.91,0.23,2025-05-06,176.75,Health & Beauty
CUST1039,INV16734,Apparel,4,14.93,0.19,2025-05-22,48.37,Fashion
CUST1002,INV43092,Beauty and Clean products,1,40.17,0.11,2025-05-13,35.75,Health & Beauty
CUST1036,INV72616,Apparel,1,82.26,0.06,2025-05-06,77.32,Fashion
CUST1013,INV24953,Fashion accessories,3,10.42,0.04,2025-05-05,30.01,Fashion
CUST1046,INV18564,Home textile,3,40.01,0.18,2025-05-09,98.42,Home Essentials
CUST1042,INV62521,Children's products,2,45.84,0.23,2025-05-10,70.59,Toys & Kids
CUST1045,INV74454,Apparel,4,58.37,0.19,2025-05-09,189.12,Fashion
CUST1035,INV19710,Bags,4,92.79,0.16,2025-05-16,311.77,Fashion
CUST1027,INV85631,Home textile,3,41.17,0.01,2025-05-05,122.27,Home Essentials
CUST1015,INV92502,Children's products,4,41.23,0.29,2025-05-03,117.09,Toys & Kids
CUST1029,INV99974,Beauty and Clean products,4,76.38,0.24,2025-05-06,232.2,Health & Beauty
CUST1038,INV17026,Home textile,1,50.7,0.09,2025-05-14,46.14,Home Essentials
CUST1018,INV29887,Bags,3,30.21,0.29,2025-05-09,64.35,Fashion
CUST1001,INV29555,Home textile,5,50.72,0.18,2025-05-14,207.95,Home Essentials
CUST1049,INV83772,Stationery,3,22.68,0.17,2025-05-10,56.47,Office Supplies
CUST1011,INV49824,Stationery,5,25.87,0.22,2025-05-16,100.89,Office Supplies
CUST1045,INV21164,Beauty and Clean products,1,54.85,0.24,2025-05-26,41.69,Health & Beauty
CUST1028,INV42530,Household supplies,2,47.7,0.2,2025-05-03,76.32,Home Essentials
CUST1022,INV25525,Electronics,4,92.34,0.04,2025-05-12,354.59,Electronics
CUST1018,INV83147,Stationery,1,42.62,0.1,2025-05-09,38.36,Office Supplies
CUST1010,INV64548,Electronics,4,62.25,0.28,2025-05-31,179.28,Electronics
CUST1014,INV89471,Electronics,2,66.9,0.07,2025-05-08,124.43,Electronics
CUST1049,INV88135,Beauty and Clean products,2,11.18,0.11,2025-05-24,19.9,Health & Beauty
CUST1022,INV91057,Bags,1,69.72,0.13,2025-05-21,60.66,Fashion
CUST1007,INV39581,Beauty and Clean products,2,26.02,0.13,2025-05-16,45.27,Health & Beauty
CUST1006,INV78494,Household supplies,5,96.5,0.18,2025-05-20,395.65,Home Essentials
CUST1025,INV59856,Children's products,2,23.38,0.28,2025-05-20,33.67,Toys & Kids
CUST1007,INV69049,Stationery,4,47.32,0.07,2025-05-07,176.03,Office Supplies
CUST1023,INV68028,Fashion accessories,4,17.68,0.04,2025-05-15,67.89,Fashion
CUST1023,INV48974,Fashion accessories,4,99.72,0.06,2025-05-04,374.95,Fashion
CUST1039,INV87139,Apparel,4,55.2,0.27,2025-05-05,161.18,Fashion
CUST1017,INV66207,Bags,5,63.58,0.19,2025-05-10,257.5,Fashion
CUST1003,INV50026,Household supplies,3,16.04,0.09,2025-05-01,43.79,Home Essentials
CUST1047,INV84531,Children's products,1,77.5,0.24,2025-05-31,58.9,Toys & Kids
CUST1030,INV91399,Household supplies,4,28.89,0.26,2025-05-13,85.51,Home Essentials
CUST1035,INV17894,Bags,2,90.82,0.25,2025-05-11,136.23,Fashion
CUST1008,INV89905,Beauty and Clean products,4,28.46,0.28,2025-05-27,81.96,Health & Beauty
CUST1025,INV23006,Children's products,2,27.16,0.08,2025-05-20,49.97,Toys & Kids
CUST1006,INV37235,Apparel,2,13.29,0.23,2025-05-13,20.47,Fashion
CUST1036,INV91987,Electronics,4,52.49,0.14,2025-05-26,180.57,Electronics
CUST1019,INV37659,Bags,5,60.84,0.25,2025-05-28,228.15,Fashion
CUST1041,INV44687,Bags,2,15.91,0.22,2025-05-11,24.82,Fashion
CUST1040,INV96563,Electronics,2,79.8,0.23,2025-05-15,122.89,Electronics
CUST1024,INV20641,Fashion accessories,4,50.8,0.2,2025-05-11,162.56,Fashion
CUST1037,INV30585,Beauty and Clean products,2,57.2,0.05,2025-05-14,108.68,Health & Beauty
CUST1013,INV41439,Fashion accessories,2,49.67,0.16,2025-05-27,83.45,Fashion
CUST1046,INV32782,Children's products,4,46.07,0.3,2025-05-27,129.0,Toys & Kids
CUST1005,INV82350,Stationery,4,60.37,0.28,2025-05-28,173.87,Office Supplies
CUST1003,INV19838,Household supplies,1,23.97,0.01,2025-05-21,23.73,Home Essentials
CUST1043,INV30517,Apparel,5,26.37,0.05,2025-05-20,125.26,Fashion
CUST1015,INV10350,Beauty and Clean products,5,87.56,0.04,2025-05-05,420.29,Health & Beauty
CUST1050,INV63545,Home textile,2,95.15,0.22,2025-05-10,148.43,Home Essentials
CUST1019,INV69048,Children's products,5,43.6,0.25,2025-05-11,163.5,Toys & Kids
CUST1006,INV87832,Apparel,2,34.37,0.06,2025-05-20,64.62,Fashion
CUST1015,INV71592,Stationery,1,67.96,0.15,2025-05-31,57.77,Office Supplies
CUST1007,INV48175,Bags,4,46.79,0.25,2025-05-23,140.37,Fashion
CUST1025,INV14278,Fashion accessories,4,12.28,0.22,2025-05-07,38.31,Fashion
CUST1018,INV40340,Home textile,4,24.05,0.16,2025-05-16,80.81,Home Essentials
CUST1030,INV47762,Bags,5,74.44,0.18,2025-05-11,305.2,Fashion
CUST1041,INV47056,Fashion accessories,1,69.3,0.15,2025-05-06,58.9,Fashion
CUST1024,INV69510,Fashion accessories,5,12.44,0.09,2025-05-31,56.6,Fashion
CUST1011,INV19329,Fashion accessories,5,29.98,0.17,2025-05-13,124.42,Fashion
CUST1024,INV40595,Fashion accessories,1,30.8,0.21,2025-05-31,24.33,Fashion
CUST1023,INV44675,Fashion accessories,1,70.47,0.26,2025-05-11,52.15,Fashion
CUST1014,INV91927,Beauty and Clean products,1,11.77,0.19,2025-05-10,9.53,Health & Beauty
CUST1043,INV87304,Apparel,1,19.37,0.23,2025-05-24,14.91,Fashion
CUST1018,INV96662,Electronics,4,81.99,0.05,2025-05-23,311.56,Electronics
CUST1045,INV35928,Beauty and Clean products,3,26.07,0.14,2025-05-21,67.26,Health & Beauty
CUST1044,INV65723,Apparel,3,68.75,0.0,2025-05-16,206.25,Fashion
CUST1042,INV25043,Home textile,1,31.44,0.07,2025-05-31,29.24,Home Essentials
CUST1005,INV81376,Household supplies,3,18.95,0.22,2025-05-19,44.34,Home Essentials
CUST1039,INV39466,Beauty and Clean products,3,31.89,0.3,2025-05-26,66.97,Health & Beauty
CUST1041,INV94886,Home textile,1,75.0,0.03,2025-05-08,72.75,Home Essentials
CUST1011,INV29528,Bags,3,87.01,0.12,2025-05-11,229.71,Fashion
CUST1035,INV44816,Home textile,5,84.72,0.24,2025-05-13,321.94,Home Essentials
CUST1047,INV28643,Children's products,2,45.75,0.06,2025-05-09,86.01,Toys & Kids
CUST1016,INV19359,Bags,2,70.13,0.17,2025-05-27,116.42,Fashion
CUST1011,INV17816,Home textile,1,28.45,0.22,2025-05-26,22.19,Home Essentials
